year,state,state_po,district,dem_share,rep_share,margin,winner,margin_abs,competitive,district_id,total_population,median_income,pct_college,pct_hs_only,pct_white,pct_black,pct_asian,pct_hispanic,pct_nonwhite
2012,ALABAMA,AL,2,0.3630600838871222,0.6359890545266295,0.2729289706395073,R,0.2729289706395073,False,AL-02,681707,42878.0,0.2087255707883641,0.3253493675585373,0.662195048605926,0.2950607812447283,0.0112086277535656,0.0351822703888914,0.3378049513940739
2012,ALABAMA,AL,3,0.3582703610411419,0.6399664147774979,0.281696053736356,R,0.281696053736356,False,AL-03,682018,40363.0,0.189532546571297,0.3252501207092087,0.7118697746980285,0.2547132187127026,0.0111316710116155,0.0264567797330862,0.2881302253019715
2012,ALABAMA,AL,4,0.2590164909073343,0.7397164069293024,0.4806999160219681,R,0.4806999160219681,False,AL-04,681718,38676.0,0.1474439434757529,0.3377261110306969,0.8899794343115481,0.068133744451518,0.0054083946734573,0.0565571101247143,0.1100205656884518
2012,ALABAMA,AL,5,0.3493801773472071,0.6494663448829873,0.3000861675357801,R,0.3000861675357801,False,AL-05,682973,50180.0,0.2843757355954072,0.2757076972703416,0.7741521260723337,0.1703024863354774,0.0156082304864174,0.0465421034213651,0.2258478739276662
2012,ALABAMA,AL,6,0.2864862935002045,0.7116539327884921,0.4251676392882876,R,0.4251676392882876,False,AL-06,679872,58508.0,0.336891771184912,0.2625666392104788,0.8154976230819919,0.1341237762402334,0.0169634872446578,0.04898274969406,0.184502376918008
2012,ALABAMA,AL,7,0.7584861592259866,0.2408516496062735,-0.517634509619713,D,0.517634509619713,False,AL-07,686282,32152.0,0.1755987660739662,0.3369681004702321,0.3372899187214585,0.6386383440043597,0.006288959931923,0.0256410630032552,0.6627100812785415
2012,ARIZONA,AZ,1,0.4879826705618156,0.4514954589717602,-0.0364872115900554,D,0.0364872115900554,True,AZ-01,705730,47025.0,0.2287671692166702,0.2652547582060194,0.6410086010230541,0.0236733595000921,0.014937724058776,0.2028821220580108,0.3589913989769459
2012,ARIZONA,AZ,2,0.5041005340787398,0.4957044467785917,-0.008396087300148,D,0.008396087300148,True,AZ-02,710822,47642.0,0.3147699267137946,0.2185838089370257,0.8350191749833291,0.0397230248923077,0.0284262445450478,0.2566493439989196,0.1649808250166708
2012,ARIZONA,AZ,3,0.5836939382802404,0.3714507581595513,-0.212243180120689,D,0.212243180120689,False,AZ-03,708477,41965.0,0.1549609535146776,0.2735427337973139,0.7231780283622474,0.047789836508454,0.0168826934395894,0.6107537718232208,0.2768219716377526
2012,ARIZONA,AZ,4,0.283697079094191,0.6683089924515917,0.3846119133574007,R,0.3846119133574007,False,AZ-04,707613,44310.0,0.1773241524751847,0.2984076205879555,0.8707471456855654,0.0170827839511145,0.0103771411774515,0.1859957349568196,0.1292528543144345
2012,ARIZONA,AZ,5,0.3280939284184004,0.6719060715815995,0.3438121431631991,R,0.3438121431631991,False,AZ-05,718136,65025.0,0.3231075791010211,0.2296118094512423,0.8445419809061236,0.0301293905332694,0.041699622355654,0.1691239542370804,0.1554580190938763
2012,ARIZONA,AZ,6,0.3331298157768174,0.6129607711382543,0.2798309553614369,R,0.2798309553614369,False,AZ-06,719820,62816.0,0.4013344120496609,0.1956052297765659,0.8652135256036231,0.0247881414798144,0.0385040704620599,0.1488316523575338,0.1347864743963769
2012,ARIZONA,AZ,8,0.3505797478655821,0.6334849756773501,0.2829052278117679,R,0.2829052278117679,False,AZ-08,711211,59358.0,0.2736333810534014,0.2522923293972934,0.8505408380916493,0.0432206475996574,0.0297070770840158,0.189656796646846,0.1494591619083507
2012,ARIZONA,AZ,9,0.4872686712162826,0.4462861460594648,-0.0409825251568178,D,0.0409825251568178,True,AZ-09,717655,50787.0,0.3494017705757972,0.2014275458300692,0.7973232263413479,0.0520528666281151,0.0456793305975712,0.2659397621419763,0.2026767736586521
2012,ARKANSAS,AR,1,0.3913459162301544,0.5623007336647181,0.1709548174345637,R,0.1709548174345637,False,AR-01,727553,36035.0,0.1415966696139109,0.3880886301863313,0.7892675860040437,0.1828719007412518,0.0041220364701952,0.0279704708797847,0.2107324139959563
2012,ARKANSAS,AR,2,0.3948248068723438,0.5519054564232828,0.1570806495509389,R,0.1570806495509389,False,AR-02,730259,46392.0,0.2681130270395327,0.3133671961465591,0.7368221411855246,0.2151209365444314,0.0146660294498253,0.0472106471813425,0.2631778588144754
2012,ARKANSAS,AR,4,0.3669121423578796,0.5952779075739613,0.2283657652160816,R,0.2283657652160816,False,AR-04,727954,36649.0,0.1503548193302208,0.3807198085759453,0.7531561060176879,0.1965028010011621,0.0061212659041642,0.0515554554271286,0.2468438939823121
2012,CALIFORNIA,CA,1,0.4261742343132356,0.5738257656867644,0.1476515313735287,R,0.1476515313735287,False,CA-01,702954,45459.0,0.2201244929622221,0.2492310056846386,0.8630450925665122,0.013845856201117,0.0258224577995146,0.1214418013127459,0.1369549074334878
2012,CALIFORNIA,CA,2,0.7124329976127939,0.287567002387206,-0.4248659952255878,D,0.4248659952255878,False,CA-02,701649,61894.0,0.3804492049886685,0.1938037091830282,0.8158381184894441,0.0181615024036234,0.0376427530004318,0.1633551818644364,0.1841618815105559
2012,CALIFORNIA,CA,3,0.5423049305887985,0.4576950694112015,-0.0846098611775969,D,0.0846098611775969,True,CA-03,701960,57244.0,0.2359584761782704,0.2356952905797864,0.6508718445495469,0.061873895948487,0.103730981822326,0.2749074021311755,0.349128155450453
2012,CALIFORNIA,CA,4,0.3889084550554855,0.6110915449445145,0.2221830898890289,R,0.2221830898890289,False,CA-04,701079,65993.0,0.3041004384832586,0.2258259930924148,0.8622737237886172,0.0120999202657617,0.0418126915796935,0.1216339385433025,0.1377262762113827
