year,state,state_po,district,dem_share,rep_share,margin,winner,margin_abs,competitive,district_id,total_population,median_income,pct_college,pct_hs_only,pct_white,pct_black,pct_asian,pct_hispanic,pct_nonwhite,cvap_total,incumbent_running,open_seat,generic_ballot_margin,redistricting_year,prev_margin,prev_winner,dem_share_lag,party_flip,dem_swing,competitiveness_score,district_vs_generic,pres_popular_margin,pres_year,natl_unemployment_rate,natl_gdp_growth,pres_approval,urban_rural_code,urban_rural_label,poverty_rate,district_unemployment_rate,median_age,median_home_value,owner_occ_rate,health_ins_rate
2014,ALABAMA,AL,1,0.3171302074438036,0.6815691632618206,0.364438955818017,R,0.364438955818017,False,AL-01,691709,44302.0,0.2235612023604835,0.328627342555232,0.6767007513275091,0.2768635365449922,0.0138757772415856,0.0297813097704381,0.3232992486724909,526739,,,-5.7,False,,,,False,,0.635561044181983,6.064438955818018,3.9,2012.0,6.2,2.5,42.6,4,Small metro,0.18804655672955825,0.11046180831701344,38.7,132100.0,0.688905787395344,0.4778545647855404
2018,ALABAMA,AL,1,0.36776483098876,0.6315633282086581,0.263798497219898,R,0.263798497219898,False,AL-01,706503,47952.0,0.2429931532831282,0.3300084366144923,0.6712427264993921,0.2761559398898518,0.0143920124896851,0.0320564810057423,0.3287572735006079,543485,,,8.6,False,,,,False,,0.736201502780102,-8.336201502780101,2.1,2016.0,3.9,3.0,42.0,4,Small metro,0.1736280633475515,0.06361114453825156,39.6,142300.0,0.6805522027761014,0.47662523866133505
2020,ALABAMA,AL,1,0.355387069816911,0.6436982450809086,0.2883111752639975,R,0.2883111752639975,False,AL-01,714379,51455.0,0.2554026387625113,0.3265793578577928,0.6671640683726705,0.2745181479298804,0.0140821608697904,0.0322573871852336,0.3328359316273295,552172,True,False,6.8,False,0.263798497219898,R,0.36776483098876,False,-0.012377761171849022,0.7116888247360025,-6.5116888247360025,4.5,2020.0,8.1,-3.4,41.9,4,Small metro,0.15658104380700022,0.05527401993438214,40.0,157000.0,0.6898689644247807,0.4761397601462897
2012,ALABAMA,AL,2,0.3630600838871222,0.6359890545266295,0.2729289706395073,R,0.2729289706395073,False,AL-02,681707,42878.0,0.2087255707883641,0.3253493675585373,0.662195048605926,0.2950607812447283,0.0112086277535656,0.0351822703888914,0.3378049513940739,519321,,,-1.0,True,,,,False,,0.7270710293604927,1.2729289706395073,3.9,2012.0,8.1,2.3,49.1,4,Small metro,0.18266569930795482,0.08875303731447232,37.6,114500.0,0.6815253445277729,0.47765556635877493
2014,ALABAMA,AL,2,0.3256406592359722,0.6734245498713918,0.3477838906354196,R,0.3477838906354196,False,AL-02,685500,43205.0,0.2131803453598555,0.3230041672314803,0.65363822027717,0.3021254558716265,0.011960612691466,0.0354223194748358,0.34636177972283,524844,True,False,-5.7,False,0.2729289706395073,R,0.3630600838871222,False,-0.03741942465115,0.6522161093645804,6.0477838906354195,3.9,2012.0,6.2,2.5,42.6,4,Small metro,0.19183287850112982,0.09212867045720072,37.8,114500.0,0.6716735334809603,0.4783667494476665
2016,ALABAMA,AL,2,0.4052620542041477,0.4876854771064125,0.0824234229022647,R,0.0824234229022647,True,AL-02,683013,43173.0,0.2179862255901689,0.3215723069638742,0.6468310266422455,0.3087232600257975,0.0109353701906113,0.0349349133911067,0.3531689733577545,525595,True,False,-1.0,False,0.3477838906354196,R,0.3256406592359722,False,0.0796213949681755,0.9175765770977353,1.0824234229022647,2.1,2016.0,4.7,1.7,48.5,4,Small metro,0.19289435842961278,0.08220191056523533,38.2,116800.0,0.6615001183179011,0.4775927389434185
2018,ALABAMA,AL,2,0.3842593820448216,0.6138841002519559,0.2296247182071343,R,0.2296247182071343,False,AL-02,680575,46817.0,0.2247414634146341,0.3203056910569106,0.6405789222348749,0.3130147301913822,0.01138155236381,0.0355067406237372,0.3594210777651251,526245,True,False,8.6,False,0.0824234229022647,R,0.4052620542041477,False,-0.021002672159326108,0.7703752817928657,-8.370375281792866,2.1,2016.0,3.9,3.0,42.0,4,Small metro,0.186650910165216,0.06903090181534886,38.5,124000.0,0.660929578664849,0.477373352553542
2020,ALABAMA,AL,2,0.3468272452061969,0.6522273354657425,0.3054000902595455,R,0.3054000902595455,False,AL-02,678978,50101.0,0.2358238962302531,0.3156875111663118,0.6318290136057427,0.3126272132528594,0.0133494752407294,0.0400837729646616,0.3681709863942572,527379,True,False,6.8,False,0.2296247182071343,R,0.3842593820448216,False,-0.037432136838624674,0.6945999097404545,-6.4945999097404545,4.5,2020.0,8.1,-3.4,41.9,4,Small metro,0.17466880996664907,0.053159013122678386,39.0,130900.0,0.6693632999104538,0.47482872155180933
2022,ALABAMA,AL,2,0.2915847829474118,0.6908891692341715,0.3993043862867597,R,0.3993043862867597,False,AL-02,714527,58193.0,0.2508652045206038,0.317371583544805,0.6185966380556648,0.3091807587396977,0.0173891259532529,0.0407024507121494,0.3814033619443352,552577,True,False,-2.8,True,0.3054000902595455,R,0.3468272452061969,False,-0.0552424622587851,0.6006956137132403,3.1993043862867596,4.5,2020.0,3.6,2.1,40.4,4,Small metro,0.16580409506409083,0.04837488224899796,39.0,159800.0,0.6777669201992285,0.475348253684423
2012,ALABAMA,AL,3,0.3582703610411419,0.6399664147774979,0.281696053736356,R,0.281696053736356,False,AL-03,682018,40363.0,0.189532546571297,0.3252501207092087,0.7118697746980285,0.2547132187127026,0.0111316710116155,0.0264567797330862,0.2881302253019715,525408,,,-1.0,True,,,,False,,0.718303946263644,1.281696053736356,3.9,2012.0,8.1,2.3,49.1,4,Small metro,0.20036148587331357,0.11482299019959849,37.3,112200.0,0.7019354449335551,0.48145591230382173
