district_id,state,state_po,district
MN-05,MINNESOTA,MN,5
MN-07,MINNESOTA,MN,7
MS-01,MISSISSIPPI,MS,1
MS-02,MISSISSIPPI,MS,2
MS-04,MISSISSIPPI,MS,4
MO-01,MISSOURI,MO,1
MO-02,MISSOURI,MO,2
MO-03,MISSOURI,MO,3
MO-04,MISSOURI,MO,4
MO-05,MISSOURI,MO,5
MO-06,MISSOURI,MO,6
MO-07,MISSOURI,MO,7
MO-08,MISSOURI,MO,8
NE-01,NEBRASKA,NE,1
NE-02,NEBRASKA,NE,2
NE-03,NEBRASKA,NE,3
NV-01,NEVADA,NV,1
NV-02,NEVADA,NV,2
NV-03,NEVADA,NV,3
NV-04,NEVADA,NV,4
NH-01,NEW HAMPSHIRE,NH,1
NH-02,NEW HAMPSHIRE,NH,2
NJ-01,NEW JERSEY,NJ,1
NJ-02,NEW JERSEY,NJ,2
NJ-03,NEW JERSEY,NJ,3
NJ-04,NEW JERSEY,NJ,4
NJ-05,NEW JERSEY,NJ,5
NJ-06,NEW JERSEY,NJ,6
NJ-07,NEW JERSEY,NJ,7
NJ-08,NEW JERSEY,NJ,8
NJ-09,NEW JERSEY,NJ,9
NJ-10,NEW JERSEY,NJ,10
NJ-11,NEW JERSEY,NJ,11
NJ-12,NEW JERSEY,NJ,12
NM-01,NEW MEXICO,NM,1
NM-02,NEW MEXICO,NM,2
NM-03,NEW MEXICO,NM,3
NY-01,NEW YORK,NY,1
NY-02,NEW YORK,NY,2
NY-03,NEW YORK,NY,3
NY-04,NEW YORK,NY,4
NY-05,NEW YORK,NY,5
NY-06,NEW YORK,NY,6
NY-08,NEW YORK,NY,8
NY-09,NEW YORK,NY,9
NY-10,NEW YORK,NY,10
NY-11,NEW YORK,NY,11
NY-12,NEW YORK,NY,12
NY-13,NEW YORK,NY,13
NY-14,NEW YORK,NY,14
NY-15,NEW YORK,NY,15
NY-16,NEW YORK,NY,16
NY-17,NEW YORK,NY,17
NY-18,NEW YORK,NY,18
NY-19,NEW YORK,NY,19
NY-20,NEW YORK,NY,20
NY-21,NEW YORK,NY,21
NY-22,NEW YORK,NY,22
NY-23,NEW YORK,NY,23
NY-24,NEW YORK,NY,24
NY-25,NEW YORK,NY,25
NY-26,NEW YORK,NY,26
NY-27,NEW YORK,NY,27
NC-01,NORTH CAROLINA,NC,1
NC-02,NORTH CAROLINA,NC,2
NC-03,NORTH CAROLINA,NC,3
NC-04,NORTH CAROLINA,NC,4
NC-05,NORTH CAROLINA,NC,5
NC-06,NORTH CAROLINA,NC,6
NC-07,NORTH CAROLINA,NC,7
NC-08,NORTH CAROLINA,NC,8
NC-09,NORTH CAROLINA,NC,9
NC-10,NORTH CAROLINA,NC,10
NC-11,NORTH CAROLINA,NC,11
NC-12,NORTH CAROLINA,NC,12
NC-13,NORTH CAROLINA,NC,13
OH-01,OHIO,OH,1
OH-02,OHIO,OH,2
OH-03,OHIO,OH,3
OH-04,OHIO,OH,4
OH-05,OHIO,OH,5
OH-06,OHIO,OH,6
OH-07,OHIO,OH,7
OH-09,OHIO,OH,9
OH-10,OHIO,OH,10
OH-12,OHIO,OH,12
OH-13,OHIO,OH,13
OH-14,OHIO,OH,14
OH-15,OHIO,OH,15
OH-16,OHIO,OH,16
OK-01,OKLAHOMA,OK,1
OK-02,OKLAHOMA,OK,2
OK-03,OKLAHOMA,OK,3
OK-04,OKLAHOMA,OK,4
OK-05,OKLAHOMA,OK,5
OR-01,OREGON,OR,1
OR-02,OREGON,OR,2
OR-03,OREGON,OR,3
OR-04,OREGON,OR,4
OR-05,OREGON,OR,5
PA-01,PENNSYLVANIA,PA,1
PA-02,PENNSYLVANIA,PA,2
PA-03,PENNSYLVANIA,PA,3
PA-04,PENNSYLVANIA,PA,4
PA-05,PENNSYLVANIA,PA,5
PA-06,PENNSYLVANIA,PA,6
PA-07,PENNSYLVANIA,PA,7
PA-08,PENNSYLVANIA,PA,8
PA-09,PENNSYLVANIA,PA,9
PA-10,PENNSYLVANIA,PA,10
PA-11,PENNSYLVANIA,PA,11
PA-12,PENNSYLVANIA,PA,12
PA-13,PENNSYLVANIA,PA,13
PA-14,PENNSYLVANIA,PA,14
PA-15,PENNSYLVANIA,PA,15
PA-16,PENNSYLVANIA,PA,16
PA-17,PENNSYLVANIA,PA,17
PA-18,PENNSYLVANIA,PA,18
RI-01,RHODE ISLAND,RI,1
RI-02,RHODE ISLAND,RI,2
SC-01,SOUTH CAROLINA,SC,1
SC-03,SOUTH CAROLINA,SC,3
SC-04,SOUTH CAROLINA,SC,4
SC-05,SOUTH CAROLINA,SC,5
SC-07,SOUTH CAROLINA,SC,7
TN-01,TENNESSEE,TN,1
TN-02,TENNESSEE,TN,2
TN-03,TENNESSEE,TN,3
TN-04,TENNESSEE,TN,4
TN-05,TENNESSEE,TN,5
TN-07,TENNESSEE,TN,7
TN-08,TENNESSEE,TN,8
TN-09,TENNESSEE,TN,9
TX-01,TEXAS,TX,1
TX-02,TEXAS,TX,2
TX-04,TEXAS,TX,4
TX-05,TEXAS,TX,5
TX-06,TEXAS,TX,6
TX-07,TEXAS,TX,7
TX-08,TEXAS,TX,8
TX-09,TEXAS,TX,9
TX-10,TEXAS,TX,10
TX-11,TEXAS,TX,11
TX-12,TEXAS,TX,12
TX-14,TEXAS,TX,14
TX-15,TEXAS,TX,15
TX-16,TEXAS,TX,16
TX-18,TEXAS,TX,18
TX-20,TEXAS,TX,20
TX-21,TEXAS,TX,21
TX-22,TEXAS,TX,22
TX-23,TEXAS,TX,23
TX-24,TEXAS,TX,24
TX-25,TEXAS,TX,25
TX-26,TEXAS,TX,26
TX-27,TEXAS,TX,27
TX-28,TEXAS,TX,28
TX-30,TEXAS,TX,30
TX-31,TEXAS,TX,31
TX-32,TEXAS,TX,32
TX-33,TEXAS,TX,33
TX-34,TEXAS,TX,34
TX-35,TEXAS,TX,35
TX-36,TEXAS,TX,36
UT-01,UTAH,UT,1
UT-02,UTAH,UT,2
UT-03,UTAH,UT,3
UT-04,UTAH,UT,4
VA-01,VIRGINIA,VA,1
VA-02,VIRGINIA,VA,2
VA-03,VIRGINIA,VA,3
VA-04,VIRGINIA,VA,4
VA-05,VIRGINIA,VA,5
VA-06,VIRGINIA,VA,6
VA-07,VIRGINIA,VA,7
VA-08,VIRGINIA,VA,8
VA-09,VIRGINIA,VA,9
VA-10,VIRGINIA,VA,10
VA-11,VIRGINIA,VA,11
WA-01,WASHINGTON,WA,1
WA-02,WASHINGTON,WA,2
WA-03,WASHINGTON,WA,3
WA-04,WASHINGTON,WA,4
WA-05,WASHINGTON,WA,5
WA-06,WASHINGTON,WA,6
WA-07,WASHINGTON,WA,7
WA-08,WASHINGTON,WA,8
WA-09,WASHINGTON,WA,9
WA-10,WASHINGTON,WA,10
WV-01,WEST VIRGINIA,WV,1
WV-02,WEST VIRGINIA,WV,2
WV-03,WEST VIRGINIA,WV,3
WI-01,WISCONSIN,WI,1
WI-02,WISCONSIN,WI,2
WI-03,WISCONSIN,WI,3
WI-04,WISCONSIN,WI,4
WI-05,WISCONSIN,WI,5
WI-06,WISCONSIN,WI,6
WI-07,WISCONSIN,WI,7
WI-08,WISCONSIN,WI,8
AL-01,ALABAMA,AL,1
CA-08,CALIFORNIA,CA,8
CA-13,CALIFORNIA,CA,13
CA-15,CALIFORNIA,CA,15
CA-23,CALIFORNIA,CA,23
CA-29,CALIFORNIA,CA,29
CA-30,CALIFORNIA,CA,30
CA-31,CALIFORNIA,CA,31
CA-33,CALIFORNIA,CA,33
CA-43,CALIFORNIA,CA,43
CO-05,COLORADO,CO,5
FL-15,FLORIDA,FL,15
FL-20,FLORIDA,FL,20
FL-24,FLORIDA,FL,24
GA-10,GEORGIA,GA,10
KS-01,KANSAS,KS,1
KS-03,KANSAS,KS,3
