result_id,district_id,year,dem_share,rep_share,margin,winner,margin_abs,competitive
1,AL-02,2012,0.3630600838871222,0.6359890545266295,0.2729289706395073,R,0.2729289706395073,False
2,AL-03,2012,0.3582703610411419,0.6399664147774979,0.281696053736356,R,0.281696053736356,False
3,AL-04,2012,0.2590164909073343,0.7397164069293024,0.4806999160219681,R,0.4806999160219681,False
4,AL-05,2012,0.3493801773472071,0.6494663448829873,0.3000861675357801,R,0.3000861675357801,False
5,AL-06,2012,0.2864862935002045,0.7116539327884921,0.4251676392882876,R,0.4251676392882876,False
6,AL-07,2012,0.7584861592259866,0.2408516496062735,-0.517634509619713,D,0.517634509619713,False
7,AZ-01,2012,0.4879826705618156,0.4514954589717602,-0.0364872115900554,D,0.0364872115900554,True
8,AZ-02,2012,0.5041005340787398,0.4957044467785917,-0.008396087300148,D,0.008396087300148,True
9,AZ-03,2012,0.5836939382802404,0.3714507581595513,-0.212243180120689,D,0.212243180120689,False
10,AZ-04,2012,0.283697079094191,0.6683089924515917,0.3846119133574007,R,0.3846119133574007,False
11,AZ-05,2012,0.3280939284184004,0.6719060715815995,0.3438121431631991,R,0.3438121431631991,False
12,AZ-06,2012,0.3331298157768174,0.6129607711382543,0.2798309553614369,R,0.2798309553614369,False
13,AZ-08,2012,0.3505797478655821,0.6334849756773501,0.2829052278117679,R,0.2829052278117679,False
14,AZ-09,2012,0.4872686712162826,0.4462861460594648,-0.0409825251568178,D,0.0409825251568178,True
15,AR-01,2012,0.3913459162301544,0.5623007336647181,0.1709548174345637,R,0.1709548174345637,False
16,AR-02,2012,0.3948248068723438,0.5519054564232828,0.1570806495509389,R,0.1570806495509389,False
17,AR-04,2012,0.3669121423578796,0.5952779075739613,0.2283657652160816,R,0.2283657652160816,False
18,CA-01,2012,0.4261742343132356,0.5738257656867644,0.1476515313735287,R,0.1476515313735287,False
19,CA-02,2012,0.7124329976127939,0.287567002387206,-0.4248659952255878,D,0.4248659952255878,False
20,CA-03,2012,0.5423049305887985,0.4576950694112015,-0.0846098611775969,D,0.0846098611775969,True
21,CA-04,2012,0.3889084550554855,0.6110915449445145,0.2221830898890289,R,0.2221830898890289,False
22,CA-05,2012,0.7447112331462427,0.2552887668537573,-0.4894224662924853,D,0.4894224662924853,False
23,CA-06,2012,0.7505243538419137,0.2494756461580862,-0.5010487076838275,D,0.5010487076838275,False
24,CA-07,2012,0.5168154092158176,0.4831845907841824,-0.0336308184316351,D,0.0336308184316351,True
25,CA-09,2012,0.5555409546783557,0.4444590453216442,-0.1110819093567114,D,0.1110819093567114,False
26,CA-10,2012,0.4729181305837982,0.5270818694162018,0.0541637388324036,R,0.0541637388324036,True
27,CA-11,2012,0.6973172756609548,0.3026827243390452,-0.3946345513219095,D,0.3946345513219095,False
28,CA-12,2012,0.850838567744402,0.149161432255598,-0.7016771354888041,D,0.7016771354888041,False
29,CA-14,2012,0.7891653728661971,0.2108346271338028,-0.5783307457323943,D,0.5783307457323943,False
30,CA-16,2012,0.5740861308918277,0.4259138691081722,-0.1481722617836554,D,0.1481722617836554,False
31,CA-17,2012,0.7354471964859178,0.2645528035140821,-0.4708943929718356,D,0.4708943929718356,False
32,CA-18,2012,0.7048924599415767,0.2951075400584234,-0.4097849198831533,D,0.4097849198831533,False
33,CA-19,2012,0.7323577587957385,0.2676422412042615,-0.464715517591477,D,0.464715517591477,False
34,CA-20,2012,0.7406855567258372,0.2593144432741627,-0.4813711134516745,D,0.4813711134516745,False
35,CA-21,2012,0.4224091225716571,0.5775908774283429,0.1551817548566858,R,0.1551817548566858,False
36,CA-22,2012,0.3812032289276015,0.6187967710723985,0.2375935421447969,R,0.2375935421447969,False
37,CA-24,2012,0.5509727763229583,0.4490272236770418,-0.1019455526459164,D,0.1019455526459164,False
38,CA-25,2012,0.4522117721652753,0.5477882278347247,0.0955764556694493,R,0.0955764556694493,True
39,CA-26,2012,0.526917612290905,0.473082387709095,-0.0538352245818098,D,0.0538352245818098,True
40,CA-27,2012,0.639775443138817,0.360224556861183,-0.2795508862776339,D,0.2795508862776339,False
41,CA-28,2012,0.7648746914405924,0.2351253085594075,-0.5297493828811848,D,0.5297493828811848,False
42,CA-32,2012,0.6570003839861975,0.3429996160138024,-0.314000767972395,D,0.314000767972395,False
43,CA-34,2012,0.8561561988761648,0.1438438011238352,-0.7123123977523296,D,0.7123123977523296,False
44,CA-36,2012,0.5293933948938705,0.4706066051061294,-0.058786789787741,D,0.058786789787741,True
45,CA-37,2012,0.8641748059103431,0.1358251940896569,-0.7283496118206862,D,0.7283496118206862,False
46,CA-38,2012,0.6754476095719406,0.3245523904280593,-0.3508952191438813,D,0.3508952191438813,False
47,CA-39,2012,0.4221187695214056,0.5778812304785944,0.1557624609571888,R,0.1557624609571888,False
48,CA-41,2012,0.5896773165121946,0.4103226834878054,-0.1793546330243891,D,0.1793546330243891,False
49,CA-42,2012,0.3940599310527711,0.6059400689472288,0.2118801378944577,R,0.2118801378944577,False
50,CA-45,2012,0.4154199249056204,0.5845800750943795,0.169160150188759,R,0.169160150188759,False
51,CA-46,2012,0.6387477889396923,0.3612522110603077,-0.2774955778793846,D,0.2774955778793846,False
